id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[11131]_[200M]_[35,60]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[11131]_[200M]_[35,60]",MANET,EpidemicOracle,600,300,11131,200,"35,60",21600,459,362796,362796,0,0,124025,429,0.9346,0,844.6783,1417.3543,1325,5.669,6,531.5902,425,6416.34886933986,6335.57642075641,5.10591952955111
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[15475]_[150M]_[35,60]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[15475]_[150M]_[35,60]",MANET,EpidemicOracle,600,300,15475,150,"35,60",21600,459,367204,367204,0,0,125057,424,0.9237,0,865.0472,1422.0307,1343,5.7476,6,519.2893,420,6239.21593946838,6219.37378746968,5.03249727109198
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[68831]_[75M]_[5,25]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[68831]_[75M]_[5,25]",MANET,EpidemicOracle,100,300,68831,75,"5,25",21600,1471,155302,155302,0,96313,33769,953,0.6479,0,161.9612,4856.617,4620,5.0745,5,2177.406,1815,6259.33717151174,6186.71751771627,1.77695001246681
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[16966]_[100M]_[35,60]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[16966]_[100M]_[35,60]",MANET,EpidemicOracle,600,300,16966,100,"35,60",21600,459,401834,401834,0,69761,126217,429,0.9346,0,935.676,1403.7855,1360,5.7786,6,4986.6671,765,6360.16678349987,6309.4660388983,4.97144017900972
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[73906]_[50M]_[60, 120]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[73906]_[50M]_[60, 120]",MANET,EpidemicOracle,600,300,73906,50,"60, 120",21600,239,267415,267415,0,96945,65343,217,0.9079,0,1231.3272,1462.8157,1419,5.8249,6,5374.5608,2835,6790.4283049869,6764.44868472928,5.00666782819196
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[79009]_[200M]_[5,25]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[79009]_[200M]_[5,25]",MANET,EpidemicOracle,100,300,79009,200,"5,25",21600,1471,145907,145907,0,23304,53796,1133,0.7702,0,127.7793,4735.5896,4624,4.1642,4,3881.0445,2435,6344.69304131348,6214.45005011035,Infinity
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[4029]_[100M]_[35,60]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[4029]_[100M]_[35,60]",MANET,EpidemicOracle,200,300,4029,100,"35,60",21600,458,109914,109914,0,851,40201,396,0.8646,0,276.5606,2940.8838,2854,4.8636,5,1366.4452,870,6302.12330675463,6329.81732178527,2.57908985111371
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[68831]_[200M]_[5,25]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[68831]_[200M]_[5,25]",MANET,EpidemicOracle,600,300,68831,200,"5,25",21600,1472,5994837,5994837,0,5194888,376162,1363,0.926,0,4397.2663,1515.0308,1435,6.653,6,1026.0822,540,6277.51114360642,6264.25666125573,4.81371819721581
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[3136]_[100M]_[5,25]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[3136]_[100M]_[5,25]",MANET,EpidemicOracle,100,300,3136,100,"5,25",21600,1471,170089,170089,0,95708,40806,1042,0.7084,0,162.2332,4795.9175,4505,4.8157,5,2664.7762,2080,6123.72860963358,6060.91906289255,1.7631047980773
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[98820]_[150M]_[5,25]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[98820]_[150M]_[5,25]",MANET,EpidemicOracle,600,300,98820,150,"5,25",21600,1472,7190208,7190208,0,6543402,331582,1344,0.913,0,5348.8571,1622.4874,1505,7.933,7,687.792,410,6304.00183818068,6272.30162145762,4.61396534815996
