id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[24113]_[75M]_[60, 120]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[24113]_[75M]_[60, 120]_w[3]",MANET,MaxProp,400,300,24113,75,"60, 120",21600,241,50636,50498,126,0,46350,213,0.8838,0,236.0798,2762.7324,2636,4.2958,4,1759.0019,1595,6550.6808073022,6537.29741682247,2.88036901309546
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[5481]_[200M]_[35,60]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[5481]_[200M]_[35,60]_w[3]",MANET,MaxProp,600,300,5481,200,"35,60",21600,459,127713,126957,723,0,118959,408,0.8889,0,310.1691,2177.4608,2119,4.0833,4,1365.0851,1220,6216.18106248437,6235.86432555513,3.35582822097377
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[73906]_[100M]_[25,35]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[73906]_[100M]_[25,35]_w[3]",MANET,MaxProp,400,300,73906,100,"25,35",21600,729,63654,63108,529,0,55555,591,0.8107,0,105.7817,3707.4958,3668,3.2217,3,2172.7094,1905,6205.85385469515,6248.9397231311,2.22249182094096
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[79009]_[200M]_[35,60]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[79009]_[200M]_[35,60]_w[3]",MANET,MaxProp,600,300,79009,200,"35,60",21600,459,128045,127249,769,0,118819,405,0.8824,0,313.1951,2186.0889,2229,4.1062,4,1439.6066,1290,6131.43830552721,6087.09138383386,3.40318683222425
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[24113]_[200M]_[35,60]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[24113]_[200M]_[35,60]_w[3]",MANET,MaxProp,600,300,24113,200,"35,60",21600,459,127379,126540,803,0,117443,409,0.8911,0,308.3888,2190.3301,2179,4.132,4,1381.9022,1240,6505.61174705377,6492.62878575016,3.48897483375703
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[5768]_[50M]_[5,25]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[5768]_[50M]_[5,25]_w[3]",MANET,MaxProp,200,300,5768,50,"5,25",21600,1454,19407,19150,253,278,13266,762,0.5241,0,24.1312,6648.9475,6104,2.3255,2,4928.8137,4265,6375.42781809106,6279.58591411162,1.51058820479139
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[100M]_[5,25]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[100M]_[5,25]_w[3]",MANET,MaxProp,200,300,22,100,"5,25",21600,1454,18968,18694,271,443,12383,739,0.5083,0,24.2963,6622.7185,6126,2.3058,2,4783.8729,4117,6348.56076382436,6285.1278370877,1.6539064268672
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[45907]_[75M]_[35,60]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[45907]_[75M]_[35,60]_w[3]",MANET,MaxProp,200,300,45907,75,"35,60",21600,458,15323,15249,72,88,11977,312,0.6812,0,47.875,5790.5962,5482,2.8814,3,3682.8036,3220,6290.67493743813,6263.3351239582,1.54400811292306
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[33282]_[150M]_[60, 120]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[33282]_[150M]_[60, 120]_w[3]",MANET,MaxProp,100,300,33282,150,"60, 120",21600,242,3487,3475,12,113,2084,130,0.5372,0,25.7308,6926.8846,6591,2.5923,3,5296.7228,4701,6538.2336361713,6500.09435988893,1.54306673320814
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[78802]_[50M]_[5,25]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[78802]_[50M]_[5,25]_w[3]",MANET,MaxProp,400,300,78802,50,"5,25",21600,1444,73037,71824,1199,0,60764,1073,0.7431,0,65.9376,4521.192,4200,2.7968,3,2726.1703,2290,6226.94376507922,6228.6076998683,1.99263538327297
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[44180]_[100M]_[35,60]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[44180]_[100M]_[35,60]_w[3]",MANET,MaxProp,200,300,44180,100,"35,60",21600,458,15115,15034,76,27,11556,296,0.6463,0,49.7905,5492.8514,4883,2.8007,3,3493.8898,3105,6345.36665833131,6239.28363922377,1.60046126139035
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[5768]_[150M]_[5,25]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[5768]_[150M]_[5,25]_w[3]",MANET,MaxProp,400,300,5768,150,"5,25",21600,1444,73805,72635,1157,0,62015,1088,0.7535,0,65.7601,4330.4393,4132,2.8051,3,2615.9722,2235,6355.84192958465,6310.84878634832,2.10639010053754
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15598]_[200M]_[25,35]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15598]_[200M]_[25,35]_w[3]",MANET,MaxProp,600,300,15598,200,"25,35",21600,728,138504,137248,1223,0,127116,637,0.875,0,214.46,2633.9403,2544,3.6295,4,1527.3121,1335,6286.18971132404,6254.49580655751,2.93181139237795
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[24113]_[75M]_[5,25]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[24113]_[75M]_[5,25]_w[3]",MANET,MaxProp,400,300,24113,75,"5,25",21600,1444,73008,71806,1185,0,60902,1080,0.7479,0,65.487,4463.7852,4288,2.7769,3,2697.6789,2285,6272.22082623412,6196.461659593,2.07384780998953
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[24113]_[75M]_[60, 120]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[24113]_[75M]_[60, 120]_w[3]",MANET,MaxProp,600,300,24113,75,"60, 120",21600,239,99669,99361,297,0,93623,217,0.9079,0,456.8848,1786.3318,1674,4.7558,5,1246.938,1140,6333.80097959547,6241.7476557885,4.00151543968576
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[33282]_[100M]_[25,35]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[33282]_[100M]_[25,35]_w[3]",MANET,MaxProp,100,300,33282,100,"25,35",21600,728,3852,3820,31,555,1770,239,0.3283,0,14.9833,7746.4184,7118,2.0377,2,7292.932,6766,6399.07509166639,5922.18235256108,1.53989363765953
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[8439]_[75M]_[5,25]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[8439]_[75M]_[5,25]_w[3]",MANET,MaxProp,400,300,8439,75,"5,25",21600,1444,73613,72393,1206,0,60633,1071,0.7417,0,66.5938,4563.958,4499,2.8282,3,2719.8917,2330,6417.53577478489,6462.40171268439,1.95795382612057
