id,scenario,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,task_id,execution_assigned,execution_started,execution_finished,worker
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['m']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['m']_[100M]_[25,35]",302400.0,10249,66883,52252,14631,39006,17516,4481,0.4372,0.0,10.6608,5524.4811,3816.0,2.4794,2,11866.4666,15790.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['M']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['M']_[100M]_[25,35]",302400.0,10246,66884,52536,14348,39388,17400,4494,0.4386,0.0,10.6903,5690.4887,4025.0,2.5154,2,11884.7825,15785.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ms']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ms']_[100M]_[25,35]",302400.0,10252,67176,52451,14725,38784,17833,4587,0.4474,0.0,10.4347,5678.2514,4080.0,2.4872,2,11879.1625,15630.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mg']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mg']_[100M]_[25,35]",302400.0,10245,66132,51574,14558,38881,16983,4416,0.431,0.0,10.6789,5553.5007,3856.0,2.4948,2,11910.1368,15797.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mM']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mM']_[100M]_[25,35]",302400.0,10245,66970,52356,14614,39002,17540,4567,0.4458,0.0,10.464,5615.3738,3949.0,2.5016,2,11847.0174,15826.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['me']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['me']_[100M]_[25,35]",302400.0,10244,66622,51967,14655,38631,17578,4465,0.4359,0.0,10.6387,5509.9532,3851.0,2.495,2,11804.433,15550.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mE']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mE']_[100M]_[25,35]",302400.0,10267,67263,52497,14766,39007,17694,4541,0.4423,0.0,10.5607,5596.3581,3926.0,2.5318,2,11859.7647,15647.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sg']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sg']_[100M]_[25,35]",302400.0,10245,66780,51954,14826,38711,17462,4529,0.4421,0.0,10.4714,5524.6613,3825.0,2.5043,2,11841.5678,15686.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sM']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sM']_[100M]_[25,35]",302400.0,10249,67107,52310,14797,39041,17517,4488,0.4379,0.0,10.6555,5643.7471,4040.0,2.4967,2,11876.9082,15731.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['se']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['se']_[100M]_[25,35]",302400.0,10250,67045,52323,14722,38668,17883,4528,0.4418,0.0,10.5554,5633.4576,4126.0,2.5227,2,11757.9795,15482.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sE']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sE']_[100M]_[25,35]",302400.0,10259,67489,52482,15007,39006,17610,4537,0.4422,0.0,10.5676,5602.5151,3995.0,2.5147,2,11885.3695,15650.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gM']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gM']_[100M]_[25,35]",302400.0,10247,66566,51896,14670,38775,17364,4473,0.4365,0.0,10.6021,5689.5556,4092.0,2.4851,2,11901.9568,15785.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ge']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ge']_[100M]_[25,35]",302400.0,10256,66556,52070,14486,38748,17562,4518,0.4405,0.0,10.525,5558.1861,3999.0,2.5,2,11863.8932,15690.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gE']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gE']_[100M]_[25,35]",302400.0,10243,67383,52776,14607,39563,17479,4503,0.4396,0.0,10.7202,5693.0118,4008.0,2.499,2,11951.5861,15922.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['Me']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['Me']_[100M]_[25,35]",302400.0,10232,67090,52325,14765,38790,17763,4517,0.4415,0.0,10.584,5503.0027,3869.0,2.4877,2,11817.4852,15550.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ME']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ME']_[100M]_[25,35]",302400.0,10243,66746,52115,14631,38900,17474,4496,0.4389,0.0,10.5914,5576.3861,3959.0,2.522,2,11843.2548,15622.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['eE']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['eE']_[100M]_[25,35]",302400.0,10257,67048,52317,14731,38692,17804,4576,0.4461,0.0,10.4329,5617.9191,3909.0,2.4908,2,11793.952,15510.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msg']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msg']_[100M]_[25,35]",302400.0,10259,67641,52847,14794,39134,17871,4576,0.446,0.0,10.5487,5572.4806,3877.0,2.4893,2,11830.548,15680.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msM']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msM']_[100M]_[25,35]",302400.0,10254,67369,52586,14783,39161,17578,4566,0.4453,0.0,10.5169,5587.8491,3996.0,2.4991,2,11879.4286,15765.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mse']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mse']_[100M]_[25,35]",302400.0,10250,66610,52184,14426,38655,17701,4570,0.4459,0.0,10.4188,5598.6551,3992.0,2.5158,2,11829.8498,15669.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msE']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msE']_[100M]_[25,35]",302400.0,10264,67204,52553,14651,39164,17563,4558,0.4441,0.0,10.5298,5498.6457,3821.0,2.4925,2,11915.6036,15865.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgM']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgM']_[100M]_[25,35]",302400.0,10238,67022,52414,14608,38738,17808,4553,0.4447,0.0,10.512,5594.5434,4031.0,2.4911,2,11793.2708,15564.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mge']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mge']_[100M]_[25,35]",302400.0,10266,66946,52295,14651,38673,17757,4557,0.4439,0.0,10.4758,5628.7975,3971.0,2.5058,2,11788.3091,15471.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgE']_[100M]_[25,35]","infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgE']_[100M]_[25,35]",302400.0,10252,66985,52397,14588,39036,17556,4553,0.4441,0.0,10.5082,5589.051,4003.0,2.499,2,11839.8803,15635.0,0.0,0.0,13,2018-05-04T04:52:11.810404,2018-05-04T04:52:11.824651,2018-05-04T07:57:53.694150,S30
