"id","scenario","mobility","router","nodes","ttl","seed","buffer_size","message_interval","sim_time","created","started","relayed","aborted","dropped","removed","delivered","delivery_prob","response_prob","overhead_ratio","latency_avg","latency_med","hopcount_avg","hopcount_med","buffertime_avg","buffertime_med","distance_avg","d_dist_avg","speed_avg","mobility","router","nodes","ttl","seed","buffer_size","message_interval","exp_weight","task_id","execution_assigned","execution_started","execution_finished","worker"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[78802]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[78802]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","78802","50","5,25",21600,1471,315554,315554,0,268315,30242,1055,0.7172,0,298.1033,3523.0967,3152,7.4066,6,916.9474,615,7610.87197748437,7482.40850277348,3.09082657830458,"cdmx","EpidemicOracle",100,300,78802,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[94176]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[94176]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","94176","50","5,25",21600,1471,291665,291665,0,244843,29501,1012,0.688,0,287.2065,3559.3982,3104,6.8953,6,1002.3008,730,7418.09984604016,7412.0535770467,3.04534811637012,"cdmx","EpidemicOracle",100,300,94176,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[65221]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[65221]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","65221","50","5,25",21600,1471,328356,328356,0,280000,30362,1056,0.7179,0,309.9432,3484.4754,3103,7.4299,6,901.6256,635,7646.88458972947,7556.64023877405,3.17133448885637,"cdmx","EpidemicOracle",100,300,65221,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[44180]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[44180]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","44180","50","5,25",21600,1471,294518,294518,0,246704,30447,1051,0.7145,0,279.2265,3704.4091,3247,7.2312,6,1002.3374,720,7657.41292773898,7354.64436229356,"Infinity","cdmx","EpidemicOracle",100,300,44180,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[79009]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[79009]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","79009","50","5,25",21600,1471,316185,316185,0,268096,30501,1038,0.7056,0,303.6098,3637.5501,3110,7.0934,6,931.7885,670,7474.980720647,7291.49971933415,"Infinity","cdmx","EpidemicOracle",100,300,79009,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[68831]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[68831]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","68831","50","5,25",21600,1471,308409,308409,0,261599,29481,1054,0.7165,0,291.6082,3531.8245,3047,7.0455,6,951.9727,700,7385.1656498318,7275.88843744415,"Infinity","cdmx","EpidemicOracle",100,300,68831,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[73906]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[73906]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","73906","50","5,25",21600,1471,306631,306631,0,257804,31492,1072,0.7288,0,285.0364,3678.3116,3251,7.1063,6,976.6753,710,7329.20873858154,7194.62914758872,"Infinity","cdmx","EpidemicOracle",100,300,73906,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[15598]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[15598]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","15598","50","5,25",21600,1471,309380,309380,0,262616,29485,1039,0.7063,0,296.7671,3510.3677,3163,7.1838,6,928.7115,660,7466.57537840881,7392.9916580804,2.93478901562841,"cdmx","EpidemicOracle",100,300,15598,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[78051]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[78051]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","78051","50","5,25",21600,1471,310703,310703,0,264627,28588,1036,0.7043,0,298.9064,3691.0463,3084,7.1737,6,946.7134,705,7504.15904550521,7533.44634644582,"Infinity","cdmx","EpidemicOracle",100,300,78051,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[71182]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[71182]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","71182","50","5,25",21600,1471,311640,311640,0,265871,28496,1036,0.7043,0,299.8108,3519.2452,2972,7.2577,6,953.5162,695,7606.29024019722,7388.27900583209,"Infinity","cdmx","EpidemicOracle",100,300,71182,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
