id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[11778]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[11778]_[50M]_[35,60]_w[3]",cdmx,MaxProp,100,300,11778,50,"35,60",21600,459,11482,11439,40,0,9566,361,0.7865,0,30.687,3881.1468,3779,2.6316,3,2868.4313,2562,7465.2677399218,7381.218309799,2.6400719662177
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[73906]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[73906]_[50M]_[25,35]_w[3]",cdmx,MaxProp,600,300,73906,50,"25,35",21600,728,294203,291995,2141,0,271279,670,0.9203,0,434.8134,1549.9657,1457,4.3209,4,1319.0936,1165,7568.89706758486,7431.23749505407,5.58490826219071
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[71182]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[71182]_[50M]_[35,60]_w[3]",cdmx,MaxProp,100,300,71182,50,"35,60",21600,459,11134,11091,40,0,9256,342,0.7451,0,31.4298,4229.3684,3902,2.6667,3,3117.9848,2780,7916.34423821124,7712.06633192658,2.84352155750292
"cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[71182]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[71182]_[50M]_[35,60]_w[3]",cdmx,MaxProp,400,300,71182,50,"35,60",21600,460,122620,121922,674,0,114293,422,0.9174,0,287.9147,1666.5616,1610,4.2393,4,1412.2465,1265,7803.64519195423,7720.79238145041,5.36002650670643
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[11778]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[11778]_[50M]_[35,60]_w[3]",cdmx,MaxProp,200,300,11778,50,"35,60",21600,458,42262,42074,178,0,38107,406,0.8865,0,102.6305,2359.3177,2179,3.33,3,1792.7452,1585,7381.1843835242,7284.19993308561,4.05911023369102
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[50M]_[25,35]_w[3]",cdmx,MaxProp,200,300,22,50,"25,35",21600,730,46344,46056,278,0,40968,618,0.8466,0,73.5243,3044.4725,2895,3.0502,3,2086.7048,1875,7526.6368075189,7348.5847670788,3.13737736027139
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[22]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[22]_[50M]_[35,60]_w[3]",cdmx,MaxProp,100,300,22,50,"35,60",21600,459,11361,11325,31,0,9264,336,0.732,0,32.7054,4315.0179,4070,2.6845,3,3213.8122,2895,8009.07818788983,8004.93277681379,2.9218685064651
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[33282]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[33282]_[50M]_[5,25]_w[3]",cdmx,MaxProp,600,300,33282,50,"5,25",21600,1472,393816,388639,5093,0,362332,1348,0.9158,0,287.3079,1795.5237,1726,3.4236,3,1337.7999,1150,7436.46646431758,7343.24915554052,4.86775004497692
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[71182]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[71182]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,600,300,71182,50,"60, 120",21600,239,119446,119195,235,0,112639,220,0.9205,0,540.7955,1387.6955,1336,4.7727,5,1255.6605,1100,7456.42530025788,7425.02196365354,6.43660788432375
"cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[11778]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[11778]_[50M]_[25,35]_w[3]",cdmx,MaxProp,400,300,11778,50,"25,35",21600,729,158836,157552,1250,0,146327,660,0.9053,0,237.7152,1926.0742,1870,3.7773,4,1486.1034,1315,7603.13519480791,7527.01656093351,4.69985459186632
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[5481]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[5481]_[50M]_[25,35]_w[3]",cdmx,MaxProp,600,300,5481,50,"25,35",21600,728,297037,294834,2135,0,276112,675,0.9272,0,435.7911,1563.4444,1466,4.3407,4,1256.4674,1096,7389.03248455113,7353.3581656738,5.32025756464287
