id,scenario,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg,mobility,router,ttl,seed,buffer_size,message_interval,exp_weight
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgM']_[150M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgM']_[150M]_[25,35]_w[4]",302400.0,10249,4044287,4044287,0,3672354,322962,7660,0.7474,0.0,526.9748,3903.7166,1182.0,11.043,8,3277.3622,1154.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msgM',150,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msE']_[50M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msE']_[50M]_[35,60]_w[4]",302400.0,6438,86603123,86603123,0,86416227,171417,4736,0.7356,0.0,18285.1324,3837.326,1469.0,112.5794,13,52.5574,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msE',50,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sgE']_[200M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sgE']_[200M]_[25,35]_w[4]",302400.0,10240,1151770,1151770,0,748830,338321,7890,0.7705,0.0,144.9785,4424.2774,1382.0,10.3923,7,15203.7247,14043.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'sgE',200,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sE']_[100M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sE']_[100M]_[60, 120]_w[4]",302400.0,3387,340887,340887,0,189191,117485,2650,0.7824,0.0,127.6366,4992.6736,1501.0,10.1287,7,25258.5284,30430.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'sE',100,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sME']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sME']_[200M]_[35,60]_w[4]",302400.0,6444,641728,641728,0,351661,221008,5066,0.7862,0.0,125.6735,5146.9047,1509.0,10.3172,7,26156.0527,31958.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'sME',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ME']_[100M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ME']_[100M]_[35,60]_w[4]",302400.0,6404,1537574,1537574,0,1295572,209364,4833,0.7547,0.0,317.1407,4113.4298,1361.0,10.6369,7,5674.2642,3402.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'ME',100,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[150M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[150M]_[60, 120]_w[4]",302400.0,3371,335998,335998,0,169054,115296,2646,0.7849,0.0,125.9834,5685.2377,1730.0,10.1931,7,36935.3174,49119.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'MeE',150,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ME']_[75M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ME']_[75M]_[35,60]_w[4]",302400.0,6404,23062584,23062584,0,22844463,194188,4743,0.7406,0.0,4861.4466,3811.5442,1277.0,31.6357,9,286.2885,51.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'ME',75,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['meE']_[50M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['meE']_[50M]_[5,25]_w[4]",302400.0,20808,113468826,113468826,0,113121998,338806,12311,0.5916,0.0,9215.8651,3659.4467,1065.0,63.2913,15,41.2566,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'meE',50,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['se']_[75M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['se']_[75M]_[35,60]_w[4]",302400.0,6420,22102955,22102955,0,21887108,192310,4808,0.7489,0.0,4596.1204,3710.3515,1243.0,29.4361,9,301.4276,52.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'se',75,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gM']_[75M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gM']_[75M]_[5,25]_w[4]",302400.0,20842,164097222,164097222,0,163675039,404018,13614,0.6532,0.0,12052.5641,3829.0173,1282.0,78.4446,16,42.8703,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'gM',75,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['seE']_[100M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['seE']_[100M]_[25,35]_w[4]",302400.0,10248,108157533,108157533,0,107837300,288794,7626,0.7441,0.0,14181.7345,3649.0384,1198.0,107.4595,11,82.9667,14.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'seE',100,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ms']_[50M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ms']_[50M]_[35,60]_w[4]",302400.0,6429,88383156,88383156,0,88200972,166979,4710,0.7326,0.0,18764.0013,3673.6656,1328.0,115.8603,13,51.3972,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'ms',50,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ms']_[100M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ms']_[100M]_[25,35]_w[4]",302400.0,10252,101818250,101818250,0,101496790,290832,7607,0.742,0.0,13383.81,3759.7154,1303.0,118.0689,11,88.0546,15.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'ms',100,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msME']_[100M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msME']_[100M]_[35,60]_w[4]",302400.0,6427,1664506,1664506,0,1425764,207122,4845,0.7539,0.0,342.5513,4018.7942,1319.0,10.7317,7,5246.5459,2367.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msME',100,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sMeE']_[50M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sMeE']_[50M]_[25,35]_w[4]",302400.0,10246,107599160,107599160,0,107360650,224907,7099,0.6929,0.0,15155.946,3923.1972,1476.0,96.2592,16,43.15,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'sMeE',50,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mE']_[150M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mE']_[150M]_[5,25]_w[4]",302400.0,20898,275911831,275911831,0,275336036,531450,15163,0.7256,0.0,18195.388,3748.5337,1314.0,111.669,14,49.5298,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mE',150,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgE']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgE']_[200M]_[35,60]_w[4]",302400.0,6445,646585,646585,0,358681,220141,5044,0.7826,0.0,127.1889,4923.911,1405.0,10.2262,7,26387.585,32722.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msgE',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgE']_[100M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgE']_[100M]_[25,35]_w[4]",302400.0,10252,112923784,112923784,0,112596778,295431,7640,0.7452,0.0,14779.6,3748.0874,1318.0,108.9437,11,79.7339,13.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mgE',100,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msME']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msME']_[200M]_[35,60]_w[4]",302400.0,6427,640847,640847,0,353755,220834,5024,0.7817,0.0,126.5571,5024.7502,1503.0,10.2594,7,26316.2347,31836.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msME',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[100M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[100M]_[35,60]_w[4]",302400.0,6424,1569406,1569406,0,1332794,204949,4883,0.7601,0.0,320.402,4005.7168,1265.0,10.5513,7,5632.1145,2755.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'MeE',100,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgM']_[150M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgM']_[150M]_[60, 120]_w[4]",302400.0,3375,338791,338791,0,168591,118639,2672,0.7917,0.0,125.793,5307.7848,1402.0,10.3799,7,36023.2096,48396.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msgM',150,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mMeE']_[100M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mMeE']_[100M]_[35,60]_w[4]",302400.0,6422,1695906,1695906,0,1455565,207484,4906,0.7639,0.0,344.68,3867.9327,1222.0,10.5485,7,5175.1346,2221.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mMeE',100,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mse']_[50M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mse']_[50M]_[25,35]_w[4]",302400.0,10250,107384257,107384257,0,107144801,225807,7110,0.6937,0.0,15102.271,3854.8675,1442.0,91.6127,16,43.7847,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mse',50,"25,35",4
