aborted,assigned_at,buffer_size,buffertime_avg,buffertime_med,created,delivered,delivery_prob,dropped,exp_weight,finished_at,hopcount_avg,hopcount_med,id,latency_avg,latency_med,mobility,msg_interval,overhead_ratio,relayed,removed,response_prob,router,rtt_avg,rtt_med,scenario,seed,sim_time,started,started_at,task_id,ttl,worker,router_fmt,buffer
14637,2018-04-18T11:46:40.888279,50M,11851.2887,15718,10249,4480,0.4371,39029,0,2018-04-18T11:54:37.757986,2.4792,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['m']_[50M]_[25,35]",5519.9835,3824,infocom06,"25,35",10.6663,52265,17507,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['m']_[50M]_[25,35]",'m',302400,66902,2018-04-18T11:54:37.757982,0,300,asterion,SprayAndWaitRouter,50
14347,2018-04-18T11:46:40.888280,50M,11880.7563,15751,10246,4493,0.4385,39396,0,2018-04-18T11:54:37.757987,2.5155,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['M']_[50M]_[25,35]",5687.7868,4025,infocom06,"25,35",10.6935,52539,17396,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['M']_[50M]_[25,35]",'M',302400,66886,2018-04-18T11:54:37.757983,0,300,asterion,SprayAndWaitRouter,50
14727,2018-04-18T11:46:40.888281,50M,11872.4643,15606,10252,4582,0.4469,38799,0,2018-04-18T11:54:37.757988,2.4876,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ms']_[50M]_[25,35]",5667.1227,4076,infocom06,"25,35",10.4476,52453,17825,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ms']_[50M]_[25,35]",'ms',302400,67180,2018-04-18T11:54:37.757984,0,300,asterion,SprayAndWaitRouter,50
14565,2018-04-18T11:46:40.888282,50M,11903.606,15766,10245,4415,0.4309,38900,0,2018-04-18T11:54:37.757989,2.4954,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mg']_[50M]_[25,35]",5552.8,3850,infocom06,"25,35",10.6838,51584,16975,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mg']_[50M]_[25,35]",'mg',302400,66149,2018-04-18T11:54:37.757985,0,300,asterion,SprayAndWaitRouter,50
14621,2018-04-18T11:46:40.888283,50M,11836.5296,15792,10245,4567,0.4458,39017,0,2018-04-18T11:54:37.757990,2.5016,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mM']_[50M]_[25,35]",5612.3462,3948,infocom06,"25,35",10.466,52365,17534,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mM']_[50M]_[25,35]",'mM',302400,66986,2018-04-18T11:54:37.757986,0,300,asterion,SprayAndWaitRouter,50
14650,2018-04-18T11:46:40.888284,50M,11801.8584,15535,10244,4466,0.436,38639,0,2018-04-18T11:54:37.757991,2.4953,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['me']_[50M]_[25,35]",5511.144,3856,infocom06,"25,35",10.6368,51970,17572,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['me']_[50M]_[25,35]",'me',302400,66620,2018-04-18T11:54:37.757987,0,300,asterion,SprayAndWaitRouter,50
14765,2018-04-18T11:46:40.888285,50M,11844.8994,15585,10267,4535,0.4417,39034,0,2018-04-18T11:54:37.757992,2.5325,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mE']_[50M]_[25,35]",5580.3574,3907,infocom06,"25,35",10.5793,52512,17688,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mE']_[50M]_[25,35]",'mE',302400,67277,2018-04-18T11:54:37.757988,0,300,asterion,SprayAndWaitRouter,50
14826,2018-04-18T11:46:40.888286,50M,11840.8067,15685,10245,4529,0.4421,38712,0,2018-04-18T11:54:37.757993,2.5043,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sg']_[50M]_[25,35]",5524.6613,3825,infocom06,"25,35",10.4716,51955,17462,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sg']_[50M]_[25,35]",'sg',302400,66781,2018-04-18T11:54:37.757989,0,300,asterion,SprayAndWaitRouter,50
14790,2018-04-18T11:46:40.888287,50M,11864.0114,15673,10249,4482,0.4373,39076,0,2018-04-18T11:54:37.757994,2.4975,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sM']_[50M]_[25,35]",5623.7947,4040,infocom06,"25,35",10.674,52323,17501,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sM']_[50M]_[25,35]",'sM',302400,67113,2018-04-18T11:54:37.757990,0,300,asterion,SprayAndWaitRouter,50
14707,2018-04-18T11:46:40.888288,50M,11750.2031,15435,10250,4523,0.4413,38674,0,2018-04-18T11:54:37.757995,2.5235,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['se']_[50M]_[25,35]",5621.4643,4111,infocom06,"25,35",10.5662,52314,17873,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['se']_[50M]_[25,35]",'se',302400,67021,2018-04-18T11:54:37.757991,0,300,asterion,SprayAndWaitRouter,50
15007,2018-04-18T11:46:40.888289,50M,11882.5418,15631,10259,4536,0.4421,39013,0,2018-04-18T11:54:37.757996,2.5143,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sE']_[50M]_[25,35]",5600.6746,3996,infocom06,"25,35",10.5705,52484,17606,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sE']_[50M]_[25,35]",'sE',302400,67491,2018-04-18T11:54:37.757992,0,300,asterion,SprayAndWaitRouter,50
14683,2018-04-18T11:46:40.888290,50M,11895.3779,15744,10247,4469,0.4361,38798,0,2018-04-18T11:54:37.757997,2.4856,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gM']_[50M]_[25,35]",5679.6447,4085,infocom06,"25,35",10.6149,51907,17356,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gM']_[50M]_[25,35]",'gM',302400,66590,2018-04-18T11:54:37.757993,0,300,asterion,SprayAndWaitRouter,50
14503,2018-04-18T11:46:40.888291,50M,11860.5459,15670,10256,4512,0.4399,38753,0,2018-04-18T11:54:37.757998,2.5,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ge']_[50M]_[25,35]",5546.209,3993,infocom06,"25,35",10.5395,52066,17559,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ge']_[50M]_[25,35]",'ge',302400,66569,2018-04-18T11:54:37.757994,0,300,asterion,SprayAndWaitRouter,50
14605,2018-04-18T11:46:40.888292,50M,11938.9341,15880,10243,4499,0.4392,39572,0,2018-04-18T11:54:37.757999,2.501,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gE']_[50M]_[25,35]",5686.5677,3991,infocom06,"25,35",10.7306,52776,17474,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gE']_[50M]_[25,35]",'gE',302400,67381,2018-04-18T11:54:37.757995,0,300,asterion,SprayAndWaitRouter,50
14757,2018-04-18T11:46:40.888293,50M,11814.8323,15530,10232,4518,0.4416,38787,0,2018-04-18T11:54:37.758000,2.4887,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['Me']_[50M]_[25,35]",5504.0031,3880,infocom06,"25,35",10.5826,52330,17770,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['Me']_[50M]_[25,35]",'Me',302400,67087,2018-04-18T11:54:37.757996,0,300,asterion,SprayAndWaitRouter,50
14610,2018-04-18T11:46:40.888294,50M,11838.1961,15565,10243,4495,0.4388,38906,0,2018-04-18T11:54:37.758001,2.521,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ME']_[50M]_[25,35]",5570.333,3943,infocom06,"25,35",10.5927,52109,17467,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['ME']_[50M]_[25,35]",'ME',302400,66719,2018-04-18T11:54:37.757997,0,300,asterion,SprayAndWaitRouter,50
14729,2018-04-18T11:46:40.888295,50M,11783.2847,15455,10257,4572,0.4457,38715,0,2018-04-18T11:54:37.758002,2.4908,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['eE']_[50M]_[25,35]",5604.9256,3894,infocom06,"25,35",10.4449,52326,17794,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['eE']_[50M]_[25,35]",'eE',302400,67055,2018-04-18T11:54:37.757998,0,300,asterion,SprayAndWaitRouter,50
14795,2018-04-18T11:46:40.888296,50M,11818.9037,15616,10259,4570,0.4455,39157,0,2018-04-18T11:54:37.758003,2.4902,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msg']_[50M]_[25,35]",5551.7589,3845,infocom06,"25,35",10.5663,52858,17865,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msg']_[50M]_[25,35]",'msg',302400,67653,2018-04-18T11:54:37.757999,0,300,asterion,SprayAndWaitRouter,50
14788,2018-04-18T11:46:40.888297,50M,11865.1313,15704,10254,4555,0.4442,39201,0,2018-04-18T11:54:37.758004,2.4979,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msM']_[50M]_[25,35]",5559.5464,3964,infocom06,"25,35",10.5482,52602,17565,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msM']_[50M]_[25,35]",'msM',302400,67390,2018-04-18T11:54:37.758000,0,300,asterion,SprayAndWaitRouter,50
14433,2018-04-18T11:46:40.888298,50M,11815.1367,15600,10250,4561,0.445,38708,0,2018-04-18T11:54:37.758005,2.5144,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mse']_[50M]_[25,35]",5580.8253,3960,infocom06,"25,35",10.4457,52204,17677,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mse']_[50M]_[25,35]",'mse',302400,66637,2018-04-18T11:54:37.758001,0,300,asterion,SprayAndWaitRouter,50
14654,2018-04-18T11:46:40.888299,50M,11906.1886,15816,10264,4553,0.4436,39183,0,2018-04-18T11:54:37.758006,2.492,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msE']_[50M]_[25,35]",5487.6233,3815,infocom06,"25,35",10.5447,52563,17559,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msE']_[50M]_[25,35]",'msE',302400,67217,2018-04-18T11:54:37.758002,0,300,asterion,SprayAndWaitRouter,50
14610,2018-04-18T11:46:40.888300,50M,11786.2101,15522,10238,4544,0.4438,38761,0,2018-04-18T11:54:37.758007,2.491,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgM']_[50M]_[25,35]",5578.7306,4015,infocom06,"25,35",10.535,52415,17795,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgM']_[50M]_[25,35]",'mgM',302400,67025,2018-04-18T11:54:37.758003,0,300,asterion,SprayAndWaitRouter,50
14654,2018-04-18T11:46:40.888301,50M,11782.9669,15450,10266,4556,0.4438,38688,0,2018-04-18T11:54:37.758008,2.5057,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mge']_[50M]_[25,35]",5624.7719,3971,infocom06,"25,35",10.4807,52306,17754,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mge']_[50M]_[25,35]",'mge',302400,66960,2018-04-18T11:54:37.758004,0,300,asterion,SprayAndWaitRouter,50
14582,2018-04-18T11:46:40.888302,50M,11833.4664,15595,10252,4551,0.4439,39028,0,2018-04-18T11:54:37.758009,2.4995,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgE']_[50M]_[25,35]",5577.5476,3999,infocom06,"25,35",10.5124,52393,17562,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['mgE']_[50M]_[25,35]",'mgE',302400,66975,2018-04-18T11:54:37.758005,0,300,asterion,SprayAndWaitRouter,50
14768,2018-04-18T11:46:40.888303,50M,11829.8284,15680,10246,4492,0.4384,38734,0,2018-04-18T11:54:37.758010,2.4866,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['meE']_[50M]_[25,35]",5475.3431,3853,infocom06,"25,35",10.6207,52200,17663,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['meE']_[50M]_[25,35]",'meE',302400,66968,2018-04-18T11:54:37.758006,0,300,asterion,SprayAndWaitRouter,50
14590,2018-04-18T11:46:40.888304,50M,11914.6177,15770,10254,4499,0.4388,38888,0,2018-04-18T11:54:37.758011,2.5166,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sgM']_[50M]_[25,35]",5724.3659,4081,infocom06,"25,35",10.5895,52141,17511,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sgM']_[50M]_[25,35]",'sgM',302400,66731,2018-04-18T11:54:37.758007,0,300,asterion,SprayAndWaitRouter,50
14696,2018-04-18T11:46:40.888305,50M,11921.4081,15755,10235,4495,0.4392,39112,0,2018-04-18T11:54:37.758012,2.4939,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sge']_[50M]_[25,35]",5557.2687,3942,infocom06,"25,35",10.6481,52358,17457,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sge']_[50M]_[25,35]",'sge',302400,67054,2018-04-18T11:54:37.758008,0,300,asterion,SprayAndWaitRouter,50
14659,2018-04-18T11:46:40.888306,50M,11839.8282,15606,10240,4470,0.4365,38841,0,2018-04-18T11:54:37.758013,2.5112,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sgE']_[50M]_[25,35]",5591.849,3858,infocom06,"25,35",10.6396,52029,17459,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sgE']_[50M]_[25,35]",'sgE',302400,66688,2018-04-18T11:54:37.758009,0,300,asterion,SprayAndWaitRouter,50
14731,2018-04-18T11:46:40.888307,50M,11759.4238,15417,10249,4553,0.4442,38588,0,2018-04-18T11:54:37.758014,2.4995,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sMe']_[50M]_[25,35]",5549.6422,3985,infocom06,"25,35",10.494,52332,17922,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sMe']_[50M]_[25,35]",'sMe',302400,67063,2018-04-18T11:54:37.758010,0,300,asterion,SprayAndWaitRouter,50
14774,2018-04-18T11:46:40.888308,50M,11799.4958,15500,10245,4537,0.4429,39077,0,2018-04-18T11:54:37.758015,2.4917,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sME']_[50M]_[25,35]",5674.8164,4132,infocom06,"25,35",10.5722,52503,17662,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['sME']_[50M]_[25,35]",'sME',302400,67277,2018-04-18T11:54:37.758011,0,300,asterion,SprayAndWaitRouter,50
14640,2018-04-18T11:46:40.888309,50M,11830.5438,15595,10248,4501,0.4392,38915,0,2018-04-18T11:54:37.758016,2.5212,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['seE']_[50M]_[25,35]",5374.9598,3717,infocom06,"25,35",10.6008,52215,17463,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['seE']_[50M]_[25,35]",'seE',302400,66855,2018-04-18T11:54:37.758012,0,300,asterion,SprayAndWaitRouter,50
14711,2018-04-18T11:46:40.888310,50M,11891.8678,15695,10248,4479,0.4371,39301,0,2018-04-18T11:54:37.758017,2.4901,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gMe']_[50M]_[25,35]",5554.6731,3869,infocom06,"25,35",10.7236,52510,17393,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gMe']_[50M]_[25,35]",'gMe',302400,67221,2018-04-18T11:54:37.758013,0,300,asterion,SprayAndWaitRouter,50
14706,2018-04-18T11:46:40.888311,50M,11700.4828,15206,10241,4492,0.4386,38360,0,2018-04-18T11:54:37.758018,2.4715,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gME']_[50M]_[25,35]",5622.1621,3959,infocom06,"25,35",10.5427,51850,17795,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['gME']_[50M]_[25,35]",'gME',302400,66556,2018-04-18T11:54:37.758014,0,300,asterion,SprayAndWaitRouter,50
14806,2018-04-18T11:46:40.888312,50M,11801.2276,15460,10257,4543,0.4429,39168,0,2018-04-18T11:54:37.758019,2.5025,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['geE']_[50M]_[25,35]",5544.2657,3801,infocom06,"25,35",10.6388,52875,17946,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['geE']_[50M]_[25,35]",'geE',302400,67681,2018-04-18T11:54:37.758015,0,300,asterion,SprayAndWaitRouter,50
14364,2018-04-18T11:46:40.888313,50M,11837.8324,15600,10254,4494,0.4383,38837,0,2018-04-18T11:54:37.758020,2.4922,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['MeE']_[50M]_[25,35]",5523.2859,3892,infocom06,"25,35",10.6469,52341,17771,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['MeE']_[50M]_[25,35]",'MeE',302400,66705,2018-04-18T11:54:37.758016,0,300,asterion,SprayAndWaitRouter,50
14558,2018-04-18T11:46:40.888314,50M,11898.8601,15715,10249,4481,0.4372,39078,0,2018-04-18T11:54:37.758021,2.4825,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msgM']_[50M]_[25,35]",5393.2207,3707,infocom06,"25,35",10.657,52235,17467,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msgM']_[50M]_[25,35]",'msgM',302400,66793,2018-04-18T11:54:37.758017,0,300,asterion,SprayAndWaitRouter,50
14748,2018-04-18T11:46:40.888315,50M,11796.0874,15546,10241,4581,0.4473,38864,0,2018-04-18T11:54:37.758022,2.5097,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msge']_[50M]_[25,35]",5590.8193,3863,infocom06,"25,35",10.4853,52614,17884,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msge']_[50M]_[25,35]",'msge',302400,67362,2018-04-18T11:54:37.758018,0,300,asterion,SprayAndWaitRouter,50
14588,2018-04-18T11:46:40.888316,50M,11811.4343,15580,10249,4588,0.4477,39132,0,2018-04-18T11:54:37.758023,2.488,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msgE']_[50M]_[25,35]",5649.5514,3996,infocom06,"25,35",10.4904,52718,17733,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msgE']_[50M]_[25,35]",'msgE',302400,67306,2018-04-18T11:54:37.758019,0,300,asterion,SprayAndWaitRouter,50
14838,2018-04-18T11:46:40.888317,50M,11930.8881,15710,10266,4563,0.4445,39534,0,2018-04-18T11:54:37.758024,2.5093,2,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msMe']_[50M]_[25,35]",5673.4195,4050,infocom06,"25,35",10.6296,53066,17688,0,SprayAndWaitRouter,,,"infocom06_SprayAndWaitRouter_[300]ttl_[302400]s_seed['msMe']_[50M]_[25,35]",'msMe',302400,67904,2018-04-18T11:54:37.758020,0,300,asterion,SprayAndWaitRouter,50
